ECG,Filtered ECG,R peaks,Heart rate
339.28198,-44.677063,,
375.516,-11.454718,,
358.68,21.174189,,
372.58798,40.18879,,
383.934,43.534916,,
383.202,38.821148,,
398.94,34.896214,,
386.862,34.004585,,
402.966,30.913977,,
386.13,18.980675,,
407.358,-2.657639,,
382.104,-27.012547,,
390.156,-43.814693,,
374.784,-46.695873,,
382.47,-37.170105,,
376.98,-22.618908,,
367.098,-10.408785,,
346.602,-3.0184267,,
358.314,2.274597,,
354.288,9.5211735,,
315.858,19.62907,,
333.426,28.998505,,
301.58398,32.215683,,
312.198,26.481028,,
304.512,14.172848,,
283.284,1.4914206,,
288.042,-5.8226404,,
286.212,-6.4844365,,
270.474,-4.3871307,,
290.604,-5.489701,,
293.53198,-13.11067,,
281.82,-25.003885,,
279.258,-34.29912,,
281.088,-33.68694,,
292.8,-20.084524,,
306.342,3.1363628,,
299.388,27.553228,,
315.492,43.700447,,
317.322,45.406307,,
307.44,32.409107,,
309.27,10.322071,,
304.512,-11.83381,,
309.27,-25.527683,,
310.368,-26.540266,,
309.27,-16.963509,,
301.95,-4.0609903,,
329.766,3.8836553,,
328.302,2.6244023,,
322.44598,-5.2932434,,
308.538,-12.243745,,
324.642,-10.903011,,
340.38,0.32741353,,
316.224,15.81869,,
334.88998,26.352402,,
336.72,25.269167,,
331.596,12.648478,,
335.622,-5.2723455,,
304.146,-20.448336,,
325.008,-27.499424,,
335.256,-25.27063,,
324.276,-15.462222,,
318.41998,-0.7479468,,
338.55,15.573781,,
338.55,28.859703,,
331.23,33.5811,,
341.112,26.158085,,
336.354,8.381421,,
309.27,-12.087811,,
323.178,-25.834316,,
327.57,-27.948013,,
324.276,-21.324057,,
310.734,-13.757941,,
323.178,-10.8401375,,
334.524,-10.727328,,
318.786,-5.764717,,
344.406,9.874035,,
324.642,32.965687,,
346.602,51.140682,,
346.236,50.9218,,
345.138,27.952719,,
336.72,-8.719397,,
321.714,-41.85887,,
315.858,-56.79825,,
319.152,-49.685314,,
345.504,-27.732431,,
327.936,-2.6360915,,
341.478,16.787745,,
333.792,27.44884,,
337.818,29.946604,,
345.504,25.46932,,
345.87,15.187982,,
322.08,1.9353207,,
322.08,-9.055355,,
335.622,-12.641561,,
340.014,-7.9372873,,
318.054,0.008206772,,
338.916,3.5326908,,
325.008,-1.432222,,
336.72,-11.554434,,
335.256,-18.374666,,
319.152,-15.121636,,
325.374,-2.3995335,,
344.406,12.104467,,
341.112,19.617657,,
345.504,16.86304,,
318.054,7.8332014,,
337.818,-0.25748548,,
339.648,-2.921771,,
342.942,-1.190759,,
322.08,0.5018505,,
341.112,-1.2797506,,
339.28198,-6.3465133,,
336.354,-11.72925,,
323.91,-14.304074,,
339.28198,-12.457143,,
342.576,-5.9366574,,
332.694,4.6387625,,
341.112,17.128311,,
346.602,26.816872,,
344.406,27.375074,,
324.642,14.893026,,
348.066,-7.501088,,
330.86398,-29.00939,,
325.374,-36.837223,,
313.296,-25.106962,,
339.28198,-0.17251486,,
345.87,22.68604,,
346.602,29.591103,,
324.642,17.811056,,
334.524,-2.7038736,,
326.106,-17.217762,,
326.83798,-17.18746,,
324.276,-5.654441,,
323.91,6.7311254,,
341.112,11.021975,,
318.786,6.569231,,
319.518,-0.14791808,,
320.616,-2.4714248,,
327.57,0.42662916,,
322.08,3.6697373,,
338.55,2.160496,,
311.832,-4.1318936,,
319.152,-10.018061,,
325.008,-9.938919,,
349.53,-3.0903049,,
318.054,5.8649044,,
339.28198,10.851,,
